datetime_beginning_utc,datetime_beginning_ept,nerc_region,mkt_region,zone,load_area,mw,is_verified
11/1/2025 8:00:00 AM,11/1/2025 4:00:00 AM,RTO,RTO,RTO,RTO,74019.885,False
11/1/2025 9:00:00 AM,11/1/2025 5:00:00 AM,RFC,MIDATL,AE,AECO,752.653,False
11/1/2025 9:00:00 AM,11/1/2025 5:00:00 AM,RFC,WEST,AEP,AEPAPT,4019.629,True
11/1/2025 9:00:00 AM,11/1/2025 5:00:00 AM,RFC,WEST,AEP,AEPIMP,2826.745,True
11/1/2025 9:00:00 AM,11/1/2025 5:00:00 AM,RFC,WEST,AEP,AEPKPT,615.088,True
11/1/2025 9:00:00 AM,11/1/2025 5:00:00 AM,RFC,WEST,AEP,AEPOPT,6879.665,True
11/1/2025 9:00:00 AM,11/1/2025 5:00:00 AM,RFC,WEST,AP,AP,4728.937,False
11/1/2025 9:00:00 AM,11/1/2025 5:00:00 AM,RFC,MIDATL,BC,BC,2583.679,False
11/1/2025 9:00:00 AM,11/1/2025 5:00:00 AM,RFC,WEST,CE,CE,8273.553,True
11/1/2025 9:00:00 AM,11/1/2025 5:00:00 AM,RFC,WEST,DAY,DAY,1577.716,False
11/1/2025 9:00:00 AM,11/1/2025 5:00:00 AM,RFC,WEST,DEOK,DEOK,2324.286,False
11/1/2025 9:00:00 AM,11/1/2025 5:00:00 AM,SERC,SOUTH,DOM,DOM,13127.793,False
11/1/2025 9:00:00 AM,11/1/2025 5:00:00 AM,RFC,MIDATL,DPL,DPLCO,1553.678,False
11/1/2025 9:00:00 AM,11/1/2025 5:00:00 AM,RFC,WEST,DUQ,DUQ,1102.955,False
11/1/2025 9:00:00 AM,11/1/2025 5:00:00 AM,RFC,MIDATL,DPL,EASTON,20.406,True
11/1/2025 9:00:00 AM,11/1/2025 5:00:00 AM,SERC,WEST,EKPC,EKPC,1575.531,False
11/1/2025 9:00:00 AM,11/1/2025 5:00:00 AM,RFC,MIDATL,JC,JC,1813.673,True
11/1/2025 9:00:00 AM,11/1/2025 5:00:00 AM,RFC,MIDATL,ME,ME,1273.762,True
11/1/2025 9:00:00 AM,11/1/2025 5:00:00 AM,RFC,WEST,ATSI,OE,5629.092,True
11/1/2025 9:00:00 AM,11/1/2025 5:00:00 AM,RFC,WEST,OVEC,OVEC,34.000,True
11/1/2025 9:00:00 AM,11/1/2025 5:00:00 AM,RFC,WEST,ATSI,PAPWR,435.945,True
11/1/2025 9:00:00 AM,11/1/2025 5:00:00 AM,RFC,MIDATL,PE,PE,3276.878,False
11/1/2025 9:00:00 AM,11/1/2025 5:00:00 AM,RFC,MIDATL,PEP,PEPCO,1997.321,False
11/1/2025 9:00:00 AM,11/1/2025 5:00:00 AM,RFC,MIDATL,PL,PLCO,3515.327,False
11/1/2025 9:00:00 AM,11/1/2025 5:00:00 AM,RFC,MIDATL,PN,PN,1504.029,True
11/1/2025 9:00:00 AM,11/1/2025 5:00:00 AM,RFC,MIDATL,PS,PS,3630.948,False
11/1/2025 9:00:00 AM,11/1/2025 5:00:00 AM,RFC,MIDATL,RECO,RECO,114.535,False
11/1/2025 9:00:00 AM,11/1/2025 5:00:00 AM,RFC,MIDATL,PEP,SMECO,319.045,True
11/1/2025 9:00:00 AM,11/1/2025 5:00:00 AM,RFC,MIDATL,PL,UGI,91.718,True
11/1/2025 9:00:00 AM,11/1/2025 5:00:00 AM,RFC,MIDATL,AE,VMEU,63.889,False
11/1/2025 9:00:00 AM,11/1/2025 5:00:00 AM,RTO,RTO,RTO,RTO,75662.476,False
11/1/2025 10:00:00 AM,11/1/2025 6:00:00 AM,RFC,MIDATL,AE,AECO,797.022,False
11/1/2025 10:00:00 AM,11/1/2025 6:00:00 AM,RFC,WEST,AEP,AEPAPT,4162.759,True
11/1/2025 10:00:00 AM,11/1/2025 6:00:00 AM,RFC,WEST,AEP,AEPIMP,2896.177,True
11/1/2025 10:00:00 AM,11/1/2025 6:00:00 AM,RFC,WEST,AEP,AEPKPT,629.733,True
11/1/2025 10:00:00 AM,11/1/2025 6:00:00 AM,RFC,WEST,AEP,AEPOPT,7024.236,True
11/1/2025 10:00:00 AM,11/1/2025 6:00:00 AM,RFC,WEST,AP,AP,4864.388,False
11/1/2025 10:00:00 AM,11/1/2025 6:00:00 AM,RFC,MIDATL,BC,BC,2750.767,False
11/1/2025 10:00:00 AM,11/1/2025 6:00:00 AM,RFC,WEST,CE,CE,8461.796,True
11/1/2025 10:00:00 AM,11/1/2025 6:00:00 AM,RFC,WEST,DAY,DAY,1659.716,False
11/1/2025 10:00:00 AM,11/1/2025 6:00:00 AM,RFC,WEST,DEOK,DEOK,2424.469,False
11/1/2025 10:00:00 AM,11/1/2025 6:00:00 AM,SERC,SOUTH,DOM,DOM,13652.266,False
11/1/2025 10:00:00 AM,11/1/2025 6:00:00 AM,RFC,MIDATL,DPL,DPLCO,1650.470,False
11/1/2025 10:00:00 AM,11/1/2025 6:00:00 AM,RFC,WEST,DUQ,DUQ,1142.079,False
11/1/2025 10:00:00 AM,11/1/2025 6:00:00 AM,RFC,MIDATL,DPL,EASTON,21.940,True
11/1/2025 10:00:00 AM,11/1/2025 6:00:00 AM,SERC,WEST,EKPC,EKPC,1578.165,False
11/1/2025 10:00:00 AM,11/1/2025 6:00:00 AM,RFC,MIDATL,JC,JC,1935.811,True
11/1/2025 10:00:00 AM,11/1/2025 6:00:00 AM,RFC,MIDATL,ME,ME,1338.622,True
11/1/2025 10:00:00 AM,11/1/2025 6:00:00 AM,RFC,WEST,ATSI,OE,5847.821,True
11/1/2025 10:00:00 AM,11/1/2025 6:00:00 AM,RFC,WEST,OVEC,OVEC,36.000,True
11/1/2025 10:00:00 AM,11/1/2025 6:00:00 AM,RFC,WEST,ATSI,PAPWR,452.960,True
11/1/2025 10:00:00 AM,11/1/2025 6:00:00 AM,RFC,MIDATL,PE,PE,3320.203,False
11/1/2025 10:00:00 AM,11/1/2025 6:00:00 AM,RFC,MIDATL,PEP,PEPCO,2130.046,False
11/1/2025 10:00:00 AM,11/1/2025 6:00:00 AM,RFC,MIDATL,PL,PLCO,3704.221,False
11/1/2025 10:00:00 AM,11/1/2025 6:00:00 AM,RFC,MIDATL,PN,PN,1581.562,True
11/1/2025 10:00:00 AM,11/1/2025 6:00:00 AM,RFC,MIDATL,PS,PS,3790.560,False
11/1/2025 10:00:00 AM,11/1/2025 6:00:00 AM,RFC,MIDATL,RECO,RECO,120.477,False
11/1/2025 10:00:00 AM,11/1/2025 6:00:00 AM,RFC,MIDATL,PEP,SMECO,345.334,True
11/1/2025 10:00:00 AM,11/1/2025 6:00:00 AM,RFC,MIDATL,PL,UGI,98.197,True
11/1/2025 10:00:00 AM,11/1/2025 6:00:00 AM,RFC,MIDATL,AE,VMEU,67.842,False
11/1/2025 10:00:00 AM,11/1/2025 6:00:00 AM,RTO,RTO,RTO,RTO,78485.639,False
11/1/2025 11:00:00 AM,11/1/2025 7:00:00 AM,RFC,MIDATL,AE,AECO,825.350,False
11/1/2025 11:00:00 AM,11/1/2025 7:00:00 AM,RFC,WEST,AEP,AEPAPT,4317.878,True
11/1/2025 11:00:00 AM,11/1/2025 7:00:00 AM,RFC,WEST,AEP,AEPIMP,2999.276,True
11/1/2025 11:00:00 AM,11/1/2025 7:00:00 AM,RFC,WEST,AEP,AEPKPT,645.136,True
11/1/2025 11:00:00 AM,11/1/2025 7:00:00 AM,RFC,WEST,AEP,AEPOPT,7259.501,True
11/1/2025 11:00:00 AM,11/1/2025 7:00:00 AM,RFC,WEST,AP,AP,5056.969,False
11/1/2025 11:00:00 AM,11/1/2025 7:00:00 AM,RFC,MIDATL,BC,BC,2888.470,False
11/1/2025 11:00:00 AM,11/1/2025 7:00:00 AM,RFC,WEST,CE,CE,8864.977,True
11/1/2025 11:00:00 AM,11/1/2025 7:00:00 AM,RFC,WEST,DAY,DAY,1736.796,False
11/1/2025 11:00:00 AM,11/1/2025 7:00:00 AM,RFC,WEST,DEOK,DEOK,2538.406,False
11/1/2025 11:00:00 AM,11/1/2025 7:00:00 AM,SERC,SOUTH,DOM,DOM,14224.186,False
11/1/2025 11:00:00 AM,11/1/2025 7:00:00 AM,RFC,MIDATL,DPL,DPLCO,1740.730,False
11/1/2025 11:00:00 AM,11/1/2025 7:00:00 AM,RFC,WEST,DUQ,DUQ,1179.325,False
11/1/2025 11:00:00 AM,11/1/2025 7:00:00 AM,RFC,MIDATL,DPL,EASTON,23.407,True
11/1/2025 11:00:00 AM,11/1/2025 7:00:00 AM,SERC,WEST,EKPC,EKPC,1647.988,False
11/1/2025 11:00:00 AM,11/1/2025 7:00:00 AM,RFC,MIDATL,JC,JC,2029.028,True
11/1/2025 11:00:00 AM,11/1/2025 7:00:00 AM,RFC,MIDATL,ME,ME,1402.090,True
11/1/2025 11:00:00 AM,11/1/2025 7:00:00 AM,RFC,WEST,ATSI,OE,6048.950,True
11/1/2025 11:00:00 AM,11/1/2025 7:00:00 AM,RFC,WEST,OVEC,OVEC,39.000,True
11/1/2025 11:00:00 AM,11/1/2025 7:00:00 AM,RFC,WEST,ATSI,PAPWR,468.181,True
11/1/2025 11:00:00 AM,11/1/2025 7:00:00 AM,RFC,MIDATL,PE,PE,3480.773,False
11/1/2025 11:00:00 AM,11/1/2025 7:00:00 AM,RFC,MIDATL,PEP,PEPCO,2241.734,False
11/1/2025 11:00:00 AM,11/1/2025 7:00:00 AM,RFC,MIDATL,PL,PLCO,3871.632,False
