timestamp,zone,load
11/19/2024 5:00:00 PM,AECO,1063.827
11/19/2024 5:00:00 PM,DAY,1971.83
11/19/2024 5:00:00 PM,DEOK,2802.121
11/19/2024 5:00:00 PM,DOM,14027.3
11/19/2024 5:00:00 PM,DPLCO,2016.848
11/19/2024 5:00:00 PM,DUQ,1495.86
11/19/2024 5:00:00 PM,CE,10396.693
11/19/2024 6:00:00 PM,OVEC,32.0
11/19/2024 6:00:00 PM,PAPWR,555.246
11/19/2024 6:00:00 PM,PE,4324.666
11/19/2024 6:00:00 PM,PEPCO,2691.783
11/19/2024 6:00:00 PM,PLCO,4715.215
11/19/2024 6:00:00 PM,PN,2079.869
11/19/2024 6:00:00 PM,SMECO,390.158
11/19/2024 6:00:00 PM,RECO,160.961
11/19/2024 6:00:00 PM,UGI,130.144
11/19/2024 6:00:00 PM,VMEU,85.616
11/19/2024 6:00:00 PM,OE,7156.208
11/19/2024 6:00:00 PM,PS,4906.942
11/19/2024 6:00:00 PM,ME,1803.906
11/19/2024 6:00:00 PM,JC,2584.646
11/19/2024 6:00:00 PM,AECO,1064.087
11/19/2024 6:00:00 PM,EKPC,1527.227
11/19/2024 6:00:00 PM,AEPAPT,4293.497
11/19/2024 6:00:00 PM,AEPIMP,2832.612
11/19/2024 6:00:00 PM,AEPKPT,607.074
11/19/2024 6:00:00 PM,AP,5666.185
11/19/2024 6:00:00 PM,BC,3381.903
11/19/2024 6:00:00 PM,AEPOPT,7020.892
11/19/2024 6:00:00 PM,DAY,1992.7
11/19/2024 6:00:00 PM,DEOK,2863.43
11/19/2024 6:00:00 PM,DOM,13814.09
11/19/2024 6:00:00 PM,DPLCO,2021.661
11/19/2024 6:00:00 PM,DUQ,1486.308
11/19/2024 6:00:00 PM,EASTON,27.433
11/19/2024 6:00:00 PM,CE,10664.692
11/19/2024 7:00:00 PM,PEPCO,2620.978
11/19/2024 7:00:00 PM,OE,7029.172
11/19/2024 7:00:00 PM,OVEC,25.0
11/19/2024 7:00:00 PM,PAPWR,557.585
11/19/2024 7:00:00 PM,PE,4269.567
11/19/2024 7:00:00 PM,PLCO,4646.639
11/19/2024 7:00:00 PM,ME,1772.424
11/19/2024 7:00:00 PM,PS,4842.333
11/19/2024 7:00:00 PM,RECO,158.657
11/19/2024 7:00:00 PM,SMECO,386.761
11/19/2024 7:00:00 PM,UGI,127.638
11/19/2024 7:00:00 PM,VMEU,82.522
11/19/2024 7:00:00 PM,PN,1992.101
11/19/2024 7:00:00 PM,JC,2526.811
11/19/2024 7:00:00 PM,AECO,1030.699
11/19/2024 7:00:00 PM,EASTON,26.637
11/19/2024 7:00:00 PM,EKPC,1487.514
11/19/2024 7:00:00 PM,AEPAPT,4265.323
11/19/2024 7:00:00 PM,AEPIMP,2835.827
11/19/2024 7:00:00 PM,AEPKPT,597.146
11/19/2024 7:00:00 PM,AP,5567.31
11/19/2024 7:00:00 PM,BC,3338.036
11/19/2024 7:00:00 PM,AEPOPT,6954.594
11/19/2024 7:00:00 PM,DAY,1951.7
11/19/2024 7:00:00 PM,DEOK,2812.903
11/19/2024 7:00:00 PM,DOM,13475.1
11/19/2024 7:00:00 PM,DPLCO,1947.637
11/19/2024 7:00:00 PM,DUQ,1466.896
11/19/2024 7:00:00 PM,CE,10518.342
11/19/2024 8:00:00 PM,PEPCO,2521.535
11/19/2024 8:00:00 PM,OE,6840.203
11/19/2024 8:00:00 PM,OVEC,36.0
11/19/2024 8:00:00 PM,PAPWR,549.654
11/19/2024 8:00:00 PM,PE,4117.042
11/19/2024 8:00:00 PM,PLCO,4485.414
11/19/2024 8:00:00 PM,PS,4703.35
11/19/2024 8:00:00 PM,RECO,153.771
11/19/2024 8:00:00 PM,SMECO,374.247
11/19/2024 8:00:00 PM,UGI,123.902
11/19/2024 8:00:00 PM,VMEU,80.247
11/19/2024 8:00:00 PM,ME,1724.348
11/19/2024 8:00:00 PM,PN,1936.699
11/19/2024 8:00:00 PM,JC,2410.963
11/19/2024 8:00:00 PM,AECO,1016.419
11/19/2024 8:00:00 PM,EASTON,25.229
11/19/2024 8:00:00 PM,AEPAPT,4175.662
11/19/2024 8:00:00 PM,AEPIMP,2820.504
11/19/2024 8:00:00 PM,AEPKPT,582.253
11/19/2024 8:00:00 PM,AEPOPT,6799.193
11/19/2024 8:00:00 PM,AP,5440.412
11/19/2024 8:00:00 PM,BC,3244.875
11/19/2024 8:00:00 PM,EKPC,1386.568
11/19/2024 8:00:00 PM,DAY,1909.7
11/19/2024 8:00:00 PM,DEOK,2757.065
11/19/2024 8:00:00 PM,DOM,13014.48
11/19/2024 8:00:00 PM,DPLCO,1914.57
11/19/2024 8:00:00 PM,DUQ,1441.925
11/19/2024 8:00:00 PM,CE,10324.767
11/19/2024 9:00:00 PM,OE,6607.18
11/19/2024 9:00:00 PM,OVEC,32.0
